,상품이름,무게,칼로리,지방,탄수화물,단백질
295,스파이시 치킨 샐러드,1인분 (146g)당,155kcal,11.00g,8.00g,6.00g
296,에그불고기치즈버거,1개 (150g)당,359kcal,19.00g,35.00g,12.00g
297,반숙계란,1인분 (50g)당,75kcal,4.20g,4.00g,6.00g
298,복숭아아이스티,1회 (190ml)당,120kcal,0.00g,30.00g,0.00g
299,뻥이요 골드,1회 (112g)당,510kcal,14.00g,91.00g,5.00g
300,집밥은 씨유 사골국,1컵 (8g)당,31kcal,0.80g,4.70g,1.30g
301,쫀득한 달고나 마카롱,1인분 (74g)당,323kcal,15.00g,43.00g,4.00g
302,에그 베네딕트 샌드위치,1인분 (150g)당,288kcal,12.00g,32.00g,13.00g
303,커피우유,1개 (500ml)당,285kcal,4.00g,16.00g,3.60g
304,에그마요 스쿱 샐러드,1인분 (120g)당,282kcal,22.00g,9.00g,12.00g
305,슈러스크,1봉지 (35g)당,138kcal,8.00g,15.00g,1.00g
306,김치콩나물국,1회 (5g)당,15kcal,0.00g,3.00g,1.00g
307,뚱한메가돈스바,100g당,268kcal,21.23g,3.66g,15.59g
308,빅불고기치즈버거,1회 (160g)당,413kcal,17.00g,49.00g,16.00g
309,남도떡갈비김밥,1인분 (243g)당,421kcal,13.00g,62.00g,14.00g
310,띵작 쫀득찰떡롤 플레인,1인분 (140g)당,425kcal,17.00g,62.00g,7.00g
311,BLT 샌드위치,100g당,293kcal,13.00g,33.00g,11.00g
312,비엘티샌드위치,2조각 (130g)당,230kcal,10.00g,25.00g,10.00g
313,불똥집 짜글이,1인분 (305g)당,295kcal,5.00g,45.00g,17.00g
314,단백질 닭가슴살 샌드위치,1인분 (207g)당,386kcal,14.00g,51.00g,14.00g
315,햄페스츄리,1개 (60g)당,225kcal,13.00g,22.00g,5.00g
316,더 건강한 소시지김밥,1인분 (252g)당,415kcal,11.00g,62.00g,17.00g
317,마늘보쌈 도시락,1회 (330g)당,595kcal,19.00g,78.00g,28.00g
318,퀴노아바질샐러드,1인분 (138g)당,111kcal,2.10g,16.00g,7.00g
319,쫀득롤케익 순우유,1인분 (130g)당,445kcal,25.00g,47.00g,7.00g
320,고메 함박스테이크,1인분 (410g)당,739kcal,31.00g,88.00g,27.00g
321,애플파이,1개 (110g)당,415kcal,23.00g,46.00g,6.00g
322,상하이 스파이시 치킨버거,1개 (175g)당,489kcal,25.00g,51.00g,15.00g
323,크랜베리 쿠키,1인분 (52g)당,239kcal,11.00g,33.00g,2.00g
324,자이언트 매콤 까르보 떡볶이,1인분 (350g)당,660kcal,28.00g,95.00g,10.00g
325,반숙대란,100g당,120kcal,4.10g,0.00g,6.00g
326,The 부드러운 와사비 크래미 샌드위치,1인분 (153g)당,269kcal,9.00g,40.00g,7.00g
327,매콤삼겹덮밥,1인분 (300g)당,685kcal,19.00g,107.00g,22.00g
328,꾸덕한 커스터드 크림슈,4개 (120g)당,309kcal,21.00g,24.00g,6.00g
329,NEW 햄치즈 샌드위치,1회 (130g)당,295kcal,12.00g,30.00g,12.00g
330,단짠불고기버거,1개 (130g)당,336kcal,16.00g,36.00g,12.00g
331,땅콩샌드,100g당,373kcal,17.00g,48.00g,7.00g
332,남도떡갈비정식,1인분 (417g)당,825kcal,33.00g,100.00g,32.00g
333,스팸김치김밥,1줄 (220g)당,340kcal,8.00g,57.00g,10.00g
334,오리지널 감자칩,1인분 (45g)당,260kcal,18.00g,23.00g,2.00g
335,새우롤,1팩 (205g)당,441kcal,17.00g,64.00g,8.00g
336,콘샐러드 샌드위치,1인분 (235g)당,432kcal,16.00g,62.00g,10.00g
337,양념돈까스 삼각김밥,1회 (108g)당,220kcal,5.00g,37.00g,6.00g
338,Big 참치마요 삼각김밥,1회 (155g)당,312kcal,8.00g,52.00g,8.00g
339,돼지불백정식,1인분 (475g)당,882kcal,34.00g,108.00g,36.00g
340,초코우유,1컵 (200ml)당,120kcal,4.50g,16.00g,4.00g
341,매콤한 닭갈비 주먹밥,1회 (170g)당,273kcal,4.00g,53.00g,6.00g
342,딸기바나나우유,1회 (270ml)당,240kcal,8.00g,36.00g,7.00g
343,와사비크래미샌드위치,1인분 (153g)당,269kcal,9.00g,40.00g,7.00g
344,아베크까망베르 치즈쿠키,1봉지 (70g)당,375kcal,21.00g,43.00g,4.00g
345,참치플렉스,100g당,165kcal,2.30g,32.00g,4.00g
346,참치&불고기 반반김밥,1줄 (205g)당,343kcal,7.00g,58.00g,12.00g
347,우삼겹 정식,1회 (435g)당,907kcal,47.00g,97.00g,24.00g
348,남도 떡갈비 정식,1인분 (417g)당,825kcal,33.00g,100.00g,32.00g
349,간장닭볶음김밥,1 인분 (239g)당,346kcal,6.00g,58.00g,15.00g
350,쫀득롤케익 딸기,1회 (140g)당,460kcal,25.00g,51.00g,8.00g
351,입안가득 참치비빔,1인분 (112g)당,224kcal,8.00g,30.00g,8.00g
352,크래미아 마카로니 샐러드,1엔분 (200g)당,415kcal,28.00g,34.00g,7.00g
353,2000참치마요,1회 (215g)당,377kcal,13.00g,52.00g,13.00g
354,블랙 아메리카노,1인분 (230ml)당,10kcal,0.00g,2.00g,1.00g
355,춘천식 닭갈비 도시락,1인분 (385g)당,633kcal,17.00g,90.00g,30.00g
356,뿌려킹 치벅,1회 (155g)당,434kcal,18.00g,47.00g,21.00g
357,7찬 매콤 불고기,1회 (440g)당,744kcal,24.00g,103.00g,29.00g
358,깻잎고추참치,1인분 (103g)당,174kcal,2.40g,33.00g,5.00g
359,대파제육볶음 삼각김밥,1인분 (105g)당,166kcal,1.50g,33.00g,5.00g
360,김자반 철판볶음밥,1 인분 (273g)당,506kcal,14.00g,87.00g,8.00g
361,치즈맛라면,1컵 (91g)당,380kcal,12.00g,61.00g,7.00g
362,초코콘,1봉지 (75g)당,400kcal,22.50g,47.50g,5.00g
363,반반참치불고기,1인분 (205g)당,343kcal,7.00g,58.00g,12.00g
364,고소한 고구마형 과자,1봉지 (125g)당,625kcal,27.00g,81.00g,14.00g
365,와사비참치김밥,1화 (245g)당,354kcal,10.00g,52.00g,14.00g
366,파르페 초코,1개 (305ml)당,298kcal,14.50g,40.70g,3.30g
367,흑당밀크티,1인분 (230ml)당,155kcal,3.00g,31.00g,1.00g
368,함박&돈까스 도시락,1인분 (411g)당,811kcal,31.00g,101.00g,32.00g
369,스리라차마요 참치듬뿍 샌드위치,1인분 (200g)당,438kcal,22.00g,44.00g,16.00g
370,치즈불닭버거,1인분 (161g)당,404kcal,16.00g,46.00g,20.00g
371,뻥이요,1/4봉지 (28g)당,135kcal,4.70g,21.00g,2.00g
372,에그마니샌드위치,1인분 (215g)당,442kcal,18.00g,52.00g,18.00g
373,터키햄 샐러드,1인분 (132g)당,115kcal,6.00g,11.00g,4.00g
374,두부된장국,1회 (7g)당,15kcal,0.00g,3.00g,1.00g
375,간장불고기 도시락,1회 (395g)당,730kcal,22.00g,98.00g,35.00g
376,고기고기치킨 도시락,1개 (405g)당,797kcal,25.00g,104.00g,39.00g
377,불닭김밥,1회당,325kcal,9.00g,52.00g,9.00g
378,햄에그치즈샌드,1인분 (150g)당,387kcal,15.00g,48.00g,15.00g
379,하이프로틴15,1인분 (250ml)당,150kcal,3.30g,14.00g,15.00g
380,700 소고기 고추장,100g당,178kcal,2.40g,35.00g,4.00g
381,NEW 케이준치킨 샌드위치,1인분 (190g)당,406kcal,10.00g,64.00g,15.00g
382,충무김밥,1인분 (264g)당,369kcal,2.30g,75.00g,12.00g
383,매콤돈까스,1줄 (215g)당,379kcal,11.00g,61.00g,9.00g
384,투바이트 브라우니 미니팩,1인분 (70g)당,320kcal,16.00g,41.00g,3.00g
385,불고기버거,1개 (110g)당,290kcal,14.00g,29.00g,10.00g
386,단짠단짠 버카롱,1인분 (94g)당,407kcal,23.00g,44.00g,6.00g
387,매콤한 콩불,1인분 (435g)당,853kcal,33.00g,112.00g,27.00g
388,파르페 딸기,1개 (305ml)당,265kcal,9.00g,44.00g,2.00g
389,스파이시치킨 바게트버거,1회 (135g)당,245kcal,5.00g,33.00g,17.00g
390,인생치케 바스크치즈,1인분 (105g)당,370kcal,22.00g,34.00g,9.00g
391,블루레몬에이드,1컵 (200ml)당,75kcal,0.00g,19.00g,0.00g
392,바다소리 햇구어 고등어,100g당,160kcal,15.00g,3.00g,16.00g
393,참치김치폭탄주먹밥,1회 (170g)당,330kcal,5.70g,64.00g,6.00g
394,크림치즈프레즐,100g당,279kcal,6.00g,48.00g,8.00g
395,초코츄러스맛 팝콘,100g당,330kcal,16.00g,43.00g,3.00g
396,콘치즈빵빵,1개 (105g)당,355kcal,15.00g,48.00g,7.00g
397,민트초코바,1바 (90ml)당,265kcal,13.00g,35.00g,2.00g
398,아이스초코,1컵 (190g)당,75kcal,0.60g,16.00g,1.00g
399,냉모밀,1인분 (523g)당,302kcal,3.80g,59.00g,8.00g
400,간장불고기 삼각김밥,1회 (110g)당,180kcal,3.50g,31.00g,6.00g
401,끝내주는 두부김치,1개 (265g)당,300kcal,16.00g,18.00g,21.00g
402,통통불닭다리버거,1회 (165g)당,464kcal,20.00g,54.00g,17.00g
403,진한 치즈에그 샌드위치,1인분 (200g)당,489kcal,29.00g,38.00g,19.00g
404,집밥은 씨유 가쓰오장국,1용기 (5g)당,12kcal,0.00g,3.00g,0.00g
405,쇼콜라 티라미수,1개 (190g)당,575kcal,34.00g,60.00g,7.00g
406,누가 비스킷 오리지널,1봉지 (14g)당,65kcal,2.60g,9.00g,1.00g
407,추억의 그시절 햄사라다빵,1회 (144g)당,357kcal,17.00g,42.00g,9.00g
408,콘칩 매콤달콤한맛,1인분 (50g)당,270kcal,16.00g,29.00g,2.70g
409,백종원 우삼겹 정식,1인분 (430g)당,780kcal,36.00g,88.00g,26.00g
410,팔도진미김밥,1회 (230g)당,339kcal,7.00g,53.00g,16.00g
411,마늘족반 불족반,1인분 (284g)당,584kcal,24.00g,35.00g,57.00g
412,사과조림 프렌치토스트,1인분 (204g)당,460kcal,12.00g,78.00g,10.00g
413,구운달걀 카레덮밥,1인분 (458g)당,675kcal,27.00g,86.00g,22.00g
414,김치두루치기 김밥,1회 (225g)당,380kcal,8.00g,66.00g,11.00g
415,땡참마요 삼각김밥,1인분 (155g)당,296kcal,8.00g,50.00g,6.00g
416,딥치즈베이컨버거,1인분 (165g)당,438kcal,26.00g,36.00g,15.00g
417,백종원 한판 도시락,1인분  (435g)당,843kcal,35.00g,100.00g,32.00g
418,초코아몬드쿠키,1봉지 (90g)당,400kcal,20.00g,51.00g,4.00g
419,리얼비프버거,1인분 (275g)당,666kcal,34.00g,66.00g,24.00g
420,모찌롤 플레인,1회 (50g)당,158kcal,10.00g,15.00g,2.00g
421,케이준치킨 샌드위치,1개 (190g)당,402kcal,10.00g,64.00g,14.00g
422,ASMR 쫀득크림면,1인분 (306g)당,490kcal,10.00g,91.00g,10.00g
423,매콤불고기,1회 (210g)당,334kcal,6.00g,60.00g,10.00g
424,고기김밥,1회 (215g)당,318kcal,6.00g,54.00g,12.00g
425,에그 베이컨 샌드위치,1인분 (130g)당,252kcal,8.00g,37.00g,8.00g
426,버터장조림 주먹밥,1회분 (160g)당,301kcal,9.00g,45.00g,10.00g
427,향긋한 아베크 까망베르 치즈쿠키,1/2봉지 (35g)당,185kcal,10.00g,22.00g,2.00g
428,플로리다 오렌지주스,1병 (270ml)당,155kcal,0.90g,34.00g,3.00g
429,콘치즈김볶 삼각김밥,1인분 (115g)당,218kcal,4.70g,39.00g,5.00g
430,든든하지롱 숯불김밥,1줄 (295g)당,508kcal,12.00g,80.00g,20.00g
431,큐브티라미수,1인분 (140g)당,440kcal,21.00g,56.00g,5.00g
432,매콤달콤 불고기 버거,1회 (140g)당,305kcal,13.00g,36.00g,11.00g
433,띵작 고구마 롤케익,1인분 (120g)당,325kcal,17.00g,39.00g,4.00g
434,마늘맛 콘스낵,1봉지 (120g)당,586kcal,26.00g,82.00g,6.00g
435,콰트로타워버거,1인분 (210g)당,503kcal,27.00g,52.00g,13.00g
436,풍성한 제육볶음 주먹밥,1개 (140g)당,231kcal,3.40g,43.00g,7.00g
437,애플파이,1인분 (85g)당,345kcal,14.00g,50.00g,4.00g
438,참치마요네즈삼각김밥,1회 (102g)당,186kcal,4.70g,31.00g,5.00g
439,앵그리 크림 쫄면,1인분 (407g)당,768kcal,24.00g,122.00g,16.00g
440,한판모둠순대,100g당,181kcal,4.60g,26.00g,9.00g
441,어니언스프,1인분 (22g)당,94kcal,2.80g,16.00g,1.00g
442,치킨포테이토 샌드,1인분 (210g)당,397kcal,17.00g,44.00g,17.00g
443,최애햄참마,1인분 (105g)당,193kcal,4.50g,33.00g,5.00g
444,호랑이라떼,1인분 (300ml)당,220kcal,10.00g,26.00g,6.00g
445,비프 치즈 버거,1개 (175g)당,482kcal,26.00g,43.00g,19.00g
446,통새우캘리포니아롤,1인분 (229g)당,455kcal,19.00g,61.00g,10.00g
447,생딸기 티라미수,100g당,185kcal,9.00g,25.00g,2.00g
448,츄러스샌드위치,1인분 (162g)당,679kcal,43.00g,65.00g,8.00g
449,백종원 매콤 불고기 정식,1개 (455g)당,741kcal,21.00g,108.00g,30.00g
450,리얼생초코찰떡,1인분 (35g)당,113kcal,2.30g,22.00g,1.00g
451,치킨버거,1개 (240g)당,584kcal,20.00g,77.00g,24.00g
452,스팸샌드위치,2조각 (160g)당,413kcal,25.00g,34.00g,13.00g
453,콘치즈 바게트버거,1인분 (135g)당,389kcal,25.00g,30.00g,11.00g
454,띵작 고구마롤케익,1회 (120g)당,325kcal,17.00g,39.00g,4.00g
455,떡갈비&닭갈비,1인분 (415g)당,690kcal,22.00g,88.00g,35.00g
456,사라다빵,1회 (130g)당,402kcal,26.20g,35.10g,6.50g
457,가츠산도,2조각 (174g)당,503kcal,27.00g,47.00g,18.00g
458,수원식왕갈비 치킨버거,1인분 (150g)당,411kcal,19.00g,44.00g,16.00g
459,리틀치즈큐브,1인분 (58g)당,355kcal,26.00g,27.00g,3.00g
460,매운 까르보볶이,1개 (109g)당,465kcal,16.00g,71.00g,9.00g
461,너비아니 밥바,1인분 (170g)당,310kcal,10.00g,46.00g,9.00g
462,참치김치김밥,1개 (200g)당,310kcal,6.00g,53.00g,10.00g
463,폭탄 전주비빔 빅볼,1인분 (230g)당,393kcal,9.00g,70.00g,8.00g
464,자두에이드,1인분 (230ml)당,120kcal,0.00g,29.00g,0.00g
465,소이볼 샐러드,100g당,145kcal,7.00g,16.00g,6.00g
466,고추참치 비빔우동,1인분 (309g)당,505kcal,13.00g,84.00g,13.00g
467,고구마앙파이,1봉지 (45g)당,166kcal,6.00g,26.00g,2.00g
468,흰우유콘,1인분 (150ml)당,210kcal,7.00g,33.00g,4.00g
469,단짠단짠 전주비빔,1인분 (105g)당,180kcal,2.70g,34.00g,5.00g
470,아카시아꿀물,1병 (180ml)당,106kcal,0.00g,26.00g,0.50g
471,고기왕듬뿍 도시락,1인분 (435g)당,730kcal,26.00g,91.00g,33.00g
472,크랩 참치 김밥,1회 (200g)당,345kcal,13.00g,47.00g,10.00g
473,베이컨참치마요,100g당,189kcal,5.00g,31.00g,5.00g
474,계란참치마요(CU),1회 (235g)당,402kcal,10.00g,60.00g,18.00g
475,카라멜아몬드 팝콘,1회 (30g)당,125kcal,2.60g,25.00g,1.40g
476,매콤등심 돈까스버거,1회 (215g)당,628kcal,32.00g,63.00g,22.00g
477,장조림 버터간장 삼각김밥,100g당,168kcal,1.30g,33.00g,6.00g
478,햄프씨드 바질 샐러드,1인분 (165g)당,135kcal,3.30g,18.00g,9.00g
479,전주비빔삼각김밥,1개 (107g)당,179kcal,2.10g,36.00g,4.00g
480,쿠키앤크림 오믈렛,1인분 (150g)당,510kcal,30.00g,56.00g,5.00g
481,춘천식 닭갈비김밥,1줄 (200g)당,338kcal,10.00g,50.00g,12.00g
482,포두부,100g당,410kcal,17.40g,18.60g,44.60g
483,바다에서 왔닥,100g당,85kcal,0.00g,9.60g,12.00g
484,당근케이크,1인분 (190g)당,500kcal,22.00g,67.00g,9.00g
485,훈제대란,1인분 (40g)당,70kcal,4.70g,0.00g,7.00g
486,미니식빵,1인분 (85g)당,251kcal,6.00g,43.00g,6.00g
487,양념숯불갈비맛 삼각김밥,1회 (105g)당,175kcal,2.10g,35.00g,4.00g
488,듬뿍 우렁된장 정식,1개 (430g)당,600kcal,12.00g,103.00g,20.00g
489,삼육두유콘,1인분 (150ml)당,194kcal,6.00g,33.00g,2.00g
490,순살치킨 스테이크,100g당,205kcal,12.00g,2.00g,22.00g
491,춘천식 닭갈비 삼각김밥,1회 (95g)당,163kcal,2.10g,32.00g,4.00g
492,베리굿 딸기 오믈렛,1회 (150g)당,350kcal,19.00g,40.00g,5.00g
493,빡포션,1인분 (12g)당,43kcal,0.00g,6.00g,5.00g
494,햄계란말이김밥,1인분 (250g)당,424kcal,12.00g,63.00g,16.00g
495,간장불고기 김밥,1인분 (254g)당,395kcal,11.00g,57.00g,17.00g
496,참치김볶,1개 (110g)당,223kcal,7.00g,34.00g,6.00g
497,광양식불고기덮밥,1 인분 (306g)당,552kcal,8.00g,94.00g,26.00g
498,핫찰도그체다치즈,1개 (140g)당,364kcal,6.00g,40.00g,18.00g
499,자이언트 치즈핫도그,1회 (146g)당,410kcal,19.00g,49.00g,11.00g
500,새우샌드,1개 (115g)당,255kcal,11.00g,29.00g,10.00g
501,시원한 바지락 칼국수,100g당,275kcal,1.50g,55.00g,11.00g
502,에그밤 샌드위치,1인분 (195g)당,425kcal,21.00g,41.00g,18.00g
503,자이언트 더블 불고기 버거,1인분 (170g)당,440kcal,20.00g,46.00g,19.00g
504,오세득의 알을 품은 치킨 샐러드,1인분 (145g)당,185kcal,13.00g,8.00g,10.00g
505,월넛쿠키,1개 (52g)당,254kcal,14.00g,29.00g,3.00g
506,스테디3단 샌드위치,1인분 (137g)당,309kcal,13.00g,41.00g,7.00g
507,NEW 참치마요네즈 삼각김밥,1개 (105g)당,200kcal,5.00g,35.00g,4.00g
508,초코우유,100ml당,60kcal,2.25g,8.00g,2.00g
509,팔도진미 강원도편 춘천식닭갈비,1개 (385g)당,633kcal,17.00g,90.00g,30.00g
510,치킨 포테이토 샌드위치,1회 (130g)당,237kcal,5.00g,40.00g,8.00g
511,역대급 참치왕 참치마요 밥바,1인분 (180g)당,314kcal,10.00g,48.00g,8.00g
512,8찬정식,1인분 (390g)당,756kcal,24.00g,103.00g,32.00g
513,치킨텐더,1인분 (241g)당,368kcal,8.00g,62.00g,12.00g
514,참치마요밥바,1인분 (180g)당,314kcal,10.00g,48.00g,8.00g
515,빅 불고기버거,1개 (160g)당,345kcal,15.00g,39.00g,13.00g
516,새우까스버거,1봉지 (130g)당,340kcal,17.00g,37.00g,10.00g
517,수원왕갈비치킨버거,1회 (150g)당,411kcal,19.00g,44.00g,16.00g
518,수원식 왕갈비 치킨,1팩 (160g)당,380kcal,16.00g,32.00g,27.00g
519,버터스카치라떼,1인분 (300ml)당,215kcal,1.40g,42.00g,9.00g
520,초코시루케이크,1개 (240g)당,760kcal,30.00g,106.00g,12.00g
521,폭탄전주비빔빅볼,1인분 (230g)당,440kcal,16.00g,62.00g,12.00g
522,꿀조합최애7찬,1인분 (385g)당,792kcal,24.00g,114.00g,30.00g
523,로투스 비스코프 생크림케익,1인분 (170g)당,575kcal,30.00g,70.00g,6.00g
524,곱창철판볶음밥,1인분 (270g)당,561kcal,17.00g,92.00g,10.00g
525,콘소메맛 케틀칩,1봉 (66g)당,300kcal,11.00g,46.00g,5.00g
526,더블초코케이크,1인분 (64g)당,254kcal,14.00g,28.00g,4.00g
527,The 부드러운 햄에그 샌드위치,100g당,260kcal,12.00g,30.00g,8.00g
528,리챔 치킨도시락,1인분 (407g)당,879kcal,39.00g,100.00g,32.00g
529,간장닭볶음 삼각김밥,1인분 (105g)당,188kcal,3.50g,34.00g,5.00g
530,스팸계란참치마요김밥,1인분 (232g)당,488kcal,20.00g,61.00g,16.00g
531,스팸 2배 마요 김밥,1인분 (210g)당,421kcal,17.00g,58.00g,9.00g
532,클래식 마들렌,1인분 (85g)당,393kcal,21.00g,45.00g,6.00g
533,어니언 불고기 주먹밥,1인분 (190g)당,354kcal,6.00g,65.00g,10.00g
534,청포도 스파클링,1병 (200ml)당,125kcal,0.00g,31.00g,0.00g
535,파르페 플러리,1컵 (305ml)당,277kcal,9.00g,47.00g,2.00g
536,백종원 고기만두 호빵,1회 (110g)당,330kcal,12.00g,43.00g,13.00g
537,국민집밥 소불고기 삼각김밥,1개 (110g)당,197kcal,3.70g,34.00g,7.00g
538,훈제오리 도시락,1회 (380g)당,713kcal,25.00g,94.00g,28.00g
539,타마고산도,1회 (236g)당,396kcal,16.00g,39.00g,24.00g
540,오리지날 모찌롤 딸기,1인분 (50g)당,166kcal,10.00g,17.00g,2.00g
541,최애햄참마 삼각김밥,1인분 (105g)당,193kcal,4.50g,33.00g,5.00g
542,속초홍게라면,1컵 (115g)당,500kcal,19.00g,72.00g,10.00g
543,유러피안BLT,1인분 (246g)당,374kcal,14.00g,47.00g,15.00g
544,매콤크림면,1인분 (291g)당,510kcal,11.00g,91.00g,12.00g
545,꼬꼬 간장 덮밥,1 인분 (239g)당,415kcal,11.00g,64.00g,15.00g
546,토핑왕 매콤 직화불고기 삼각김밥,1인분 (150g)당,268kcal,4.40g,47.00g,10.00g
547,LIGHT 리얼너츠,1회 (20g)당,121kcal,10.99g,3.87g,3.63g
548,맵달 양념치킨,1인분 (107g)당,199kcal,3.40g,37.00g,5.00g
549,초코바나나우유,1병 (270ml)당,240kcal,7.00g,36.00g,7.00g
550,원조김밥,1인분 (220g)당,314kcal,3.80g,61.00g,9.00g
551,떠먹는 매콤삼겹 밥버거,1인분 (200g)당,361kcal,9.00g,59.00g,11.00g
552,제육쌈밥김밥,1인분 (225g)당,360kcal,10.00g,56.00g,13.00g
553,띵작 쫀득롤케익 그린티,1인분 (110g)당,368kcal,23.00g,34.00g,6.00g
554,오늘은 햄에그롤,1회 (120g)당,185kcal,10.00g,9.00g,15.00g
555,돈스바,100g당,268kcal,22.29g,2.81g,13.91g
556,크림치즈시나몬롤,1개 (85g)당,274kcal,10.00g,40.00g,6.00g
557,비빔참치 삼각김밥,1인분 (101g)당,184kcal,4.00g,33.00g,4.00g
558,오트밀크,1인분 (225ml)당,200kcal,7.00g,26.00g,8.50g
559,치즈순삭,1봉지 (54g)당,270kcal,12.00g,38.00g,2.00g
560,마라볶음면,1컵 (239g)당,465kcal,4.40g,95.00g,12.00g
561,생딸기크림소보로,100g당,327kcal,11.00g,51.00g,6.00g
562,편스토랑 미트파이 오리지널,1개 (170g)당,384kcal,16.00g,39.00g,21.00g
563,치즈닭갈비 삼각김밥,100g당,150kcal,1.60g,27.00g,7.00g
564,오리&불고기 정식 도시락,1인분 (380g)당,747kcal,23.00g,96.00g,39.00g
565,맘모쑥,1인분 (245g)당,768kcal,16.00g,142.00g,14.00g
566,봄나물 비빔밥 (353g),1인분 (353g)당,533kcal,9.00g,99.00g,14.00g
567,훈제오리제육볶음,1인분 (385g)당,763kcal,23.00g,100.00g,39.00g
568,묵은지 햄마요 김밥,1인분 (225g)당,347kcal,11.00g,53.00g,9.00g
569,고깃집볶음밥,100g당,198kcal,6.00g,28.00g,8.00g
570,진한초코칩쿠키,1인분 (80g)당,405kcal,18.00g,55.00g,5.00g
571,티라미수초코파이,1인분 (62g)당,270kcal,14.00g,33.00g,3.00g
572,오리지날 모찌롤 초코,1회 (50g)당,145kcal,9.00g,14.00g,2.00g
573,쿠키티라미수,1인분 (190g)당,610kcal,36.00g,64.00g,8.00g
574,연어왕 훈제연어 밥바,1인분 (180g)당,303kcal,7.00g,57.00g,3.00g
575,의성마늘떡갈비 김밥,1줄 (220g)당,343kcal,7.00g,58.00g,12.00g
576,대만식 구운 새우 샤오롱바오,1인분 (204g)당,400kcal,17.00g,46.00g,16.00g
577,쫀득롤케익 삼육두유,1인분 (150g)당,500kcal,27.00g,56.00g,8.00g
578,더블 쇼콜라 타르트,1인분 (38g)당,200kcal,12.00g,21.00g,2.00g
579,속편한 우엉유부 김밥,1개 (205g)당,315kcal,3.90g,61.00g,9.00g
580,짬뽕불고기 도시락,1개 (395g)당,686kcal,18.00g,110.00g,21.00g
581,쑥떡쑥떡샌드,1인분 (180ml)당,195kcal,4.80g,35.00g,3.00g
