,상품이름,무게,칼로리,지방,탄수화물,단백질
582,참치김치볶음밥,100g당,181kcal,4.50g,30.00g,5.00g
583,커스타드 크림&단팥 호빵,1개 (120g)당,340kcal,10.00g,56.00g,7.00g
584,마늘소스 순살족발,1인분 (150g)당,343kcal,17.00g,8.00g,40.00g
585,The 부드러운 치킨포테이토 샌드위치,1인분 (130g)당,237kcal,5.00g,40.00g,8.00g
586,큐브크림치즈케익,1인분 (140g)당,430kcal,21.00g,54.00g,5.00g
587,스팸계란참치마요,1인분 (232g)당,488kcal,20.00g,61.00g,16.00g
588,스팸밥바,1인분 (155g)당,273kcal,9.00g,39.00g,9.00g
589,스팸 김치볶음 밥바,1개 (140g)당,362kcal,14.00g,51.00g,8.00g
590,목살큐브스테이크,1회 (345g)당,647kcal,27.00g,72.00g,29.00g
591,트러플피자,1인분 (185g)당,460kcal,12.00g,63.00g,24.00g
592,제주 흑돼지 비빔밥,1인분 (503g)당,925kcal,25.00g,140.00g,35.00g
593,잇츠빅 소시지핫도그 핫케이준,1개 (190g)당,469kcal,25.00g,48.00g,13.00g
594,쫀득 멜론 롤케익,1개 (50g)당,157kcal,9.00g,17.00g,2.00g
595,국민간식 길거리토스트,1인분 (210g)당,454kcal,14.00g,63.00g,19.00g
596,통통 햄계란말이 김밥,1인분 (250g)당,424kcal,12.00g,63.00g,16.00g
597,매콤달콤 치즈불고기버거,1회 (150g)당,380kcal,16.00g,46.00g,13.00g
598,통햄구이참치마요 삼각김밥,1회 (109g)당,218kcal,5.90g,36.00g,5.00g
599,집밥은 씨유 육개장,1컵 (8g)당,27kcal,0.80g,4.00g,1.00g
600,베이컨 에그 디럭스 샌드위치,1인분 (175g)당,422kcal,22.00g,36.00g,20.00g
601,오늘은치즈에그롤,1회 (120g)당,170kcal,8.00g,10.00g,15.00g
602,치즈참치마요,1인분 (219g)당,355kcal,11.00g,51.00g,13.00g
603,자이언트 피자 콤보,1조각 (205g)당,535kcal,19.00g,64.00g,27.00g
604,바싹불고기 삼각김밥,100g당,240kcal,8.00g,35.00g,7.00g
605,뚱한치즈메가돈스바,1인분 (180g)당,268kcal,22.29g,2.81g,13.91g
606,호로록 수제비,1인분 (216g)당,519kcal,1.70g,117.00g,9.00g
607,카프레제샌드위치,1인분 (150g)당,295kcal,11.00g,39.00g,10.00g
608,돈까스마요&스팸마요 반반김밥,1줄 (210g)당,379kcal,15.00g,52.00g,9.00g
609,쿠키크림케익,1개 (110g)당,350kcal,9.00g,60.00g,6.00g
610,한입 돈까스,1회 (505g)당,1375kcal,67.00g,157.00g,36.00g
611,딸기크림빵,1인분 (110g)당,302kcal,10.00g,47.00g,6.00g
612,눈꽃치즈함박,1인분 (354g)당,832kcal,44.00g,74.00g,35.00g
613,맛있는 핫도그 오리지널,1개 (135g)당,352kcal,20.00g,32.00g,11.00g
614,자이언트더블불고기버거,1인분 (170g)당,440kcal,20.00g,46.00g,19.00g
615,치킨 단호박 샌드위치,1팩 (135g)당,302kcal,14.00g,34.00g,10.00g
616,자케 브라우니,1인분 (30g)당,129kcal,7.20g,14.00g,2.00g
617,계란참치마요김밥,1인분 (235g)당,402kcal,10.00g,60.00g,18.00g
618,떠먹는 리챔 김치 밥버거,1인분 (193g)당,313kcal,5.00g,56.00g,11.00g
619,햄치즈연유,1인분 (80g)당,213kcal,9.00g,27.00g,6.00g
620,The 치킨스테이크 샐러드,100g당,124kcal,1.93g,11.36g,15.37g
621,머루포도,100g당,59kcal,0.30g,14.90g,0.80g
622,메론우유,1컵 (200ml)당,130kcal,5.40g,16.00g,4.20g
623,오트 크랜베리쿠키,1/2봉지 (35g)당,170kcal,7.00g,25.00g,2.00g
624,The 부드러운 베이컨에그 샌드위치,1개 (131g)당,306kcal,14.00g,36.00g,9.00g
625,오븐구이랍스터,1인분 (80g)당,80kcal,0.00g,6.00g,8.00g
626,생크림 딸기 오믈렛,1인분 (150g)당,340kcal,15.00g,47.00g,5.00g
627,집밥은 씨유 미역국,1컵 (8g)당,26kcal,0.00g,6.00g,0.40g
628,스팸김치볶음밥바,1개 (140g)당,362kcal,14.00g,51.00g,8.00g
629,쫀득한 두꺼비 마카롱,1인분 (72g)당,322kcal,15.00g,41.00g,4.00g
630,우유팥빙수,1인분 (300ml)당,423kcal,5.00g,87.00g,7.00g
631,빅 바베큐 버거,1회 (160g)당,335kcal,15.00g,39.00g,11.00g
632,촉촉한 크랜베리쿠키,1개 (60g)당,335kcal,15.00g,30.00g,3.00g
633,NEW 4단 점보 샌드위치,1회 (185g)당,434kcal,22.00g,49.00g,10.00g
634,뉴게맛살&햄치즈샌드위치,1개 (160g)당,377kcal,18.00g,42.00g,12.60g
635,NEW 베스트 3단 샌드위치,1회 (155g)당,323kcal,15.00g,36.00g,11.00g
636,신나는 초코 뉴짱,1회 (95g)당,530kcal,32.00g,55.00g,5.00g
637,꽃맛살샐러드 샌드위치,1인분 (190g)당,348kcal,16.00g,41.00g,10.00g
638,헤이루 우유,100ml당,65kcal,3.60g,5.00g,3.00g
639,듬뿍 참치마요,1줄 (190g)당,318kcal,10.00g,48.00g,9.00g
640,종가집김치 수육정식,1개 (340g)당,643kcal,23.00g,77.00g,32.00g
641,1500식빵,100g당,285kcal,4.40g,53.00g,8.00g
642,버라이어티 샌드위치,1회 (150g)당,406kcal,18.00g,49.00g,12.00g
643,백종원의 매콤컵떡볶이,1인분 (205g)당,520kcal,3.80g,113.00g,8.00g
644,초코아몬드쿠키,1/3봉지 (30g)당,146kcal,6.00g,21.00g,2.00g
645,매콤불고기김밥,1회 (210g)당,318kcal,6.00g,54.00g,12.00g
646,김치듬뿍 삼각김밥,1인분 (105g)당,171kcal,2.50g,34.00g,3.00g
647,블루베리,1병 (270ml)당,168kcal,0.00g,42.00g,0.00g
648,Big 요구르트,1인분 (80ml)당,45kcal,0.00g,10.00g,1.20g
649,포테이토 샌드,1인분 (95g)당,218kcal,10.00g,26.00g,6.00g
650,꼬불이 라면스낵,1회 (50g)당,300kcal,21.00g,27.00g,0.40g
651,떡갈비 밥바,1회 (170g)당,318kcal,10.00g,47.00g,10.00g
652,대파제육볶음,1인분 (105g)당,166kcal,1.50g,33.00g,5.00g
653,쿠키 티라미수,1인분 (190g)당,610kcal,36.00g,64.00g,8.00g
654,리챔김치밥버거,1인분 (193g)당,313kcal,5.00g,56.00g,11.00g
655,계란 떡볶이비빔 밥볼,1인분 (200g)당,298kcal,2.90g,58.00g,10.00g
656,촉촉 계란 샌드위치,1팩 (170g)당,502kcal,34.00g,35.00g,14.00g
657,달콤한 다쿠아즈,1회 (26g)당,95kcal,4.20g,13.00g,1.00g
658,김치크림볶음밥,1인분 (320g)당,480kcal,12.00g,84.00g,9.00g
659,간장 직화불고기 삼각김밥,1 인분 (150g)당,264kcal,4.00g,47.00g,10.00g
660,고깃집 볶음밥 김밥,1인분 (190g)당,342kcal,10.00g,48.00g,15.00g
661,돈먹고 돈워리 돈까스 샌드위치,1인분 (165g)당,399kcal,19.00g,38.00g,19.00g
662,콤비네이션피자,1조각 (132g)당,305kcal,10.00g,37.00g,17.00g
663,브라운슈가라떼,1회 (250ml)당,200kcal,6.00g,30.00g,6.00g
664,햄에그 디럭스 샌드위치,1인분 (190g)당,505kcal,29.00g,44.00g,17.00g
665,오므라이스롤,1개 (160g)당,235kcal,3.00g,42.00g,10.00g
666,보성녹돈 불고기 정식,1인분 (435g)당,777kcal,21.00g,116.00g,31.00g
667,햄&치즈 프렌치토스트,1봉 (120g)당,286kcal,10.00g,40.00g,9.00g
668,수육삼겹족발보쌈,100g당,280kcal,18.00g,6.00g,23.00g
669,딸기초코파이,100g당,454kcal,28.00g,46.00g,5.00g
670,닭갈비삼각김밥,100g당,168kcal,1.40g,34.00g,4.70g
671,자이언트피자,1개 (205g)당,540kcal,19.00g,64.00g,27.00g
672,쿠키크림가득 브라우니케이크,1인분 (75g)당,280kcal,16.00g,31.00g,3.00g
673,듬뿍참치마요,1줄 (190g)당,318kcal,10.00g,48.00g,9.00g
674,빅 요구르트,1컵 (80ml)당,45kcal,0.00g,10.00g,1.20g
675,달콤한 우유크림 빅슈,1개 (120g)당,395kcal,31.00g,21.00g,8.00g
676,스파이시마요 치킨샐러드,1팩 (184g)당,190kcal,9.00g,16.00g,10.00g
677,불향가득 간장불고기,1개 (150g)당,264kcal,4.00g,47.00g,10.00g
678,크랜베리 호밀 샌드위치,1개 (130g)당,315kcal,16.00g,35.00g,8.00g
679,채식주의 버거,1인분  (155g)당,318kcal,10.00g,41.00g,16.00g
680,대감댁 장자 슬라이스 족발,100g당,190kcal,5.00g,8.00g,28.00g
681,씨유우유,100ml당,65kcal,4.00g,4.50g,3.00g
682,제주 흑돼지 두루치기 김밥,1줄 (195g)당,316kcal,8.00g,48.00g,13.00g
683,앙증맞은 우유앙빵,1회 (50g)당,190kcal,4.90g,35.00g,2.00g
684,소확행 김밥,1줄 (195g)당,300kcal,3.10g,56.00g,12.00g
685,오늘의 도시락 탕수육&깐풍치킨,1개 (415g)당,863kcal,31.00g,119.00g,27.00g
686,오리 파워업 덮밥,1인분 (380g)당,651kcal,19.00g,102.00g,18.00g
687,THE충김볶이슈레시피 삼각김밥,1 인분 (105g)당,189kcal,2.80g,37.00g,4.00g
688,하늘의 별딸기,1인분 (60g)당,305kcal,15.00g,38.00g,4.00g
689,참치마요 심플샌드,100g당,275kcal,11.00g,35.00g,9.00g
690,오늘은치킨이닭!,1인분 (423g)당,913kcal,33.00g,122.00g,32.00g
691,자이언트 빨간 순대,1컵 (320g)당,518kcal,6.00g,102.00g,13.00g
692,숯불고기김밥,1인분 (195g)당,340kcal,8.00g,53.00g,14.00g
693,브라우니타르트,1회 (42g)당,190kcal,10.00g,23.00g,2.00g
694,달고나 케익,100g당,300kcal,11.00g,46.00g,4.00g
695,짭쪼롬한 통스팸김볶,100g당,192kcal,4.40g,33.00g,5.00g
696,치킨볼 닭강정맛,1봉지 (71g)당,330kcal,12.00g,53.00g,3.00g
697,안동식 찜닭김밥,1인분 (225g)당,332kcal,8.00g,52.00g,13.00g
698,밥말라 부대찌개라면,1회 (146g)당,455kcal,17.00g,66.00g,10.00g
699,갈릭 퐁듀 큐브스테이크,1인분 (340g)당,558kcal,14.00g,89.00g,19.00g
700,띵작 쫀득롤케익 멜론,1인분 (145g)당,485kcal,25.00g,58.00g,7.00g
701,베이컨땡초,1인분 (110g)당,205kcal,4.50g,37.00g,4.00g
702,모히또레몬라임,1회 (340ml)당,105kcal,0.00g,16.00g,0.00g
703,맛있는 핫도그,1회 (120g)당,310kcal,16.00g,31.00g,11.00g
704,제육챌린지,1인분 (426g)당,690kcal,26.00g,83.00g,31.00g
705,빵빵 크림빵,1인분 (150g)당,500kcal,19.00g,72.00g,8.00g
706,간장직화불고기,1인분 (150g)당,264kcal,4.00g,47.00g,10.00g
707,달콤간장닭꼬치,1인분 (120g)당,214kcal,10.00g,17.00g,14.00g
708,흑임자인절미스낵,1인분 (60g)당,315kcal,17.00g,36.00g,4.00g
709,겉바속촉 참치마요,1인분 (115g)당,219kcal,7.00g,31.00g,8.00g
710,오리지널 멕시칸,1인분 (367g)당,608kcal,24.00g,78.00g,20.00g
711,무지개 케이크,1인분 (200g)당,635kcal,28.00g,84.00g,10.00g
712,흑마늘 훈제삼겹,100g당,406kcal,37.00g,5.00g,14.00g
713,오빠닭다리,1인분 (140g)당,230kcal,12.00g,2.00g,30.00g
714,촉촉계란샌드위치,1개 (170g)당,502kcal,34.00g,35.00g,14.00g
715,베이컨에그디럭스샌드위치,1팩 (175g)당,422kcal,22.00g,36.00g,20.00g
716,감귤 타르트 약과,1 인분 (30g)당,130kcal,4.70g,20.00g,2.00g
717,달콤한 아베크 초코사브레쿠키,6개 (35g)당,180kcal,9.00g,23.00g,2.00g
718,잠발라야치킨 미니샐러드,1인분 (141g)당,162kcal,10.00g,7.00g,11.00g
719,반숙에그샌드,1인분 (220g)당,408kcal,20.00g,40.00g,17.00g
720,미트소스 계란덮밥,1인분 (460g)당,596kcal,12.00g,104.00g,18.00g
721,스페셜 찬 도시락,1개 (385g)당,703kcal,23.00g,95.00g,29.00g
722,명란크랩유부초밥,1인분 (245g)당,484kcal,20.00g,63.00g,13.00g
723,7찬매콤불고기,1인분 (445g)당,715kcal,23.00g,94.00g,33.00g
724,달닭삼각김밥,1인분 (105g)당,170kcal,1.50g,34.00g,5.00g
725,크랩참치마요 삼각김밥,1인분 (110g)당,196kcal,4.40g,35.00g,4.00g
726,홍장미베리땅콩샌드위치,1인분 (140g)당,382kcal,10.00g,64.00g,9.00g
727,치킨마요 밥바,1개 (185g)당,560kcal,20.00g,84.00g,11.00g
728,The 부드러운 와사비크래미 샌드위치,1회 (153g)당,269kcal,9.00g,40.00g,7.00g
729,트리플치즈버거,1인분 (170g)당,548kcal,36.00g,41.00g,15.00g
730,대만식 왕자치즈감자,1 인분 (200g)당,415kcal,28.00g,35.00g,6.00g
731,요일도시락 깐풍치킨,1회 (365g)당,726kcal,26.00g,98.00g,25.00g
732,엄마가 싸준 도시락,1회 (375g)당,617kcal,17.00g,94.00g,22.00g
733,매콤불고기정식,1인분 (450g)당,843kcal,31.00g,112.00g,29.00g
734,매콤 불고기 김밥,1줄 (210g)당,318kcal,6.00g,54.00g,12.00g
735,초코크런치,1인분 (63g)당,335kcal,18.00g,38.00g,5.00g
736,수란덮밥,1인분 (348g)당,445kcal,7.00g,80.00g,16.00g
737,베스트 4단 샌드위치,1인분 (167g)당,402kcal,22.00g,40.00g,11.00g
738,달콤함이 꽉찬 호떡,1회 (85g)당,264kcal,3.40g,51.00g,5.95g
739,집밥은 씨유 된장국,1용기 (5ml)당,15kcal,0.00g,3.00g,1.00g
740,베이컨 치즈 디럭스 샌드위치,2조각 (155g)당,448kcal,24.00g,44.00g,14.00g
741,햄쌈도시락,1인분 (400g)당,786kcal,30.00g,107.00g,22.00g
742,로스트치킨 에그볼,1인분 (170g)당,192kcal,12.00g,9.00g,12.00g
743,육즙만두봉,1인분 (80g)당,190kcal,15.00g,4.00g,10.00g
744,팝핑캔디스낵,1인분 (50g)당,275kcal,16.00g,30.00g,3.00g
745,고들빼기 두루치기 덮밥,1인분 (303g)당,475kcal,7.00g,85.00g,18.00g
746,타르타르 참치마요 삼각김밥,1회 (105g)당,209kcal,5.00g,36.00g,5.00g
747,레몬녹차,1병 (360ml)당,145kcal,0.00g,36.00g,0.00g
748,매콤불고기삼각김밥,100g당,148kcal,1.30g,31.00g,3.00g
749,에그치킨샌드위치,1인분 (120g)당,297kcal,13.00g,32.00g,13.00g
750,호밀 3단 샌드위치,1인분 (118g)당,285kcal,11.00g,37.00g,9.00g
751,소프트 인절미스낵,1회 (86g)당,450kcal,26.00g,47.00g,7.00g
752,새우유부초밥,1인분 (230g)당,463kcal,15.00g,69.00g,13.00g
753,불고기 듬뿍 버거,1인분 (200g)당,487kcal,23.00g,47.00g,23.00g
754,알을 품은 꼬꼬 샐러드,1회 (180g)당,170kcal,10.00g,10.00g,9.00g
755,뉴 소고기고추장 삼각김밥,1개 (115g)당,187kcal,3.00g,30.00g,10.00g
756,버터갈릭치킨샌드위치,1인분 (165g)당,454kcal,18.00g,59.00g,14.00g
757,그린티 초코바,1개 (90ml)당,189kcal,12.00g,19.00g,2.00g
758,쫀득롤케익 고구마,1인분 (140g)당,380kcal,20.00g,45.00g,5.00g
759,고추참치비빔우동,1인분 (309g)당,505kcal,13.00g,84.00g,13.00g
760,떠-블 떡갈비버거,1인분 (208g)당,487kcal,23.00g,48.00g,22.00g
761,쫀득우유찰빵,1인분 (25g)당,75kcal,2.00g,14.00g,0.60g
762,메이플라떼,1인분 (250ml)당,165kcal,5.80g,23.00g,5.00g
763,거꾸로 계란초밥,1개 (108g)당,168kcal,2.70g,32.00g,4.00g
764,펭러뷰 쇼콜라케익,100g당,500kcal,24.00g,61.00g,10.00g
765,초코청크 로얄쿠키,1인분 (70g)당,347kcal,15.00g,50.00g,4.00g
766,딸기콘,1회 (30g)당,145kcal,6.00g,21.00g,2.00g
767,청포도 오믈렛,1인분 (150g)당,400kcal,23.00g,46.00g,5.00g
768,말차소라빵,100g당,303kcal,19.00g,33.00g,5.00g
769,데리야끼 치킨 주먹밥,1회 (165g)당,268kcal,4.00g,51.00g,7.00g
770,에그 스테이크 머핀샌드,1회 (150g)당,316kcal,16.00g,32.00g,11.00g
771,매콤고등어정식,도시락 1개당,554kcal,14.00g,80.00g,27.00g
772,3단매콤불고기버거,1개 (195g)당,547kcal,27.00g,56.00g,20.00g
773,우유팥빙수,100g당,120kcal,1.60g,24.00g,2.00g
774,13곡 초코바,1봉 (20g)당,110kcal,6.00g,11.00g,2.00g
775,새마을식당 열탄불고기 찐빵,1회 (95g)당,228kcal,4.90g,38.00g,8.00g
776,몽골리안 정식,1인분 (390g)당,812kcal,32.00g,110.00g,21.00g
777,동글동글 빵카롱,1인분 (70g)당,315kcal,15.00g,40.00g,5.00g
778,달콤칠리 닭가슴살 & 병아리콩 잡곡밥,1회 (210g)당,285kcal,4.30g,42.00g,19.00g
779,고구마 앙파이,1회 (45g)당,166kcal,6.00g,26.00g,2.00g
780,띵작 쫀득 멜론 롤케익 (50g),1회 (50g)당,157kcal,9.00g,17.00g,2.00g
781,참치김치볶음삼각김밥,100g당,172kcal,3.70g,31.00g,4.00g
782,트위스트,1회 (30g)당,150kcal,7.00g,20.00g,2.00g
783,햄참치 폭탄주먹밥,1개 (170g)당,320kcal,10.00g,50.00g,7.00g
784,모찌모찌롤 믹스,1회 (140g)당,430kcal,19.00g,58.00g,8.00g
785,유부&김밥세트,1개 (225g)당,424kcal,8.00g,76.00g,12.00g
786,통통새우 샌드위치,1회 (150g)당,449kcal,25.00g,47.00g,9.00g
787,고깃집볶음밥 김밥,1회 (185g)당,286kcal,6.00g,44.00g,14.00g
788,뉴소고기고추장삼각김밥,1회 (115g)당,184kcal,1.50g,37.00g,6.00g
789,장조림김 밥,1개 (170g)당,255kcal,2.40g,49.00g,9.20g
790,스키피 대만식 땅콩잼 샌드위치,2조각 (138g)당,423kcal,23.00g,41.00g,13.00g
791,아보카도 크림치즈롤,1 인분 (246g)당,435kcal,15.00g,63.00g,12.00g
792,뿌려킹치벅,1인분 (155g)당,434kcal,18.00g,47.00g,21.00g
793,스파이시 치즈버거,1봉 (235g)당,650kcal,38.00g,55.00g,22.00g
794,게맛살 참치 디럭스 샌드위치,1인분 (165g)당,399kcal,19.00g,44.00g,13.00g
795,매콤짭짤 소고기고추장,100g당,168kcal,1.80g,34.00g,4.00g
796,9첩 반상,1인분 (420g)당,691kcal,23.00g,94.00g,27.00g
797,GET 카페라떼,1병 (280ml)당,186kcal,6.00g,27.00g,6.00g
798,치아바타 포테이토 피자,1회 (95g)당,260kcal,12.00g,28.00g,8.00g
799,모두다돼지 도시락,1인분 (420g)당,864kcal,28.00g,114.00g,39.00g
800,참치마요&통햄김볶,2조각 (203g)당,374kcal,10.00g,61.00g,10.00g
801,단짝,1개 (46g)당,174kcal,0.00g,43.00g,0.00g
802,흑임자빙수,1인분 (280ml)당,393kcal,9.00g,72.00g,6.00g
803,콘치즈핫도그,1회 (150g)당,437kcal,25.00g,39.00g,14.00g
804,씨프로틴,100g당,85kcal,0.00g,9.60g,12.00g
805,콤보 치즈 크래커,1봉지 (17g)당,86kcal,4.00g,11.50g,1.00g
806,구운양파맛 케틀칩,1봉지 (66g)당,320kcal,15.00g,42.00g,5.00g
807,고구마아몬드샐러드,100g당,175kcal,7.00g,26.00g,2.00g
808,블루베리 땅콩잼 샌드위치,1인분 (140g)당,423kcal,19.00g,52.00g,11.00g
809,피자빵빵버거,1인분 (140g)당,298kcal,10.00g,35.00g,17.00g
810,꼬막에 빠진 빨간밥,1인분 (275g)당,485kcal,13.00g,82.00g,10.00g
811,잇츠빅 소시지핫도그 콘치즈,1개 (180g)당,486kcal,30.00g,35.00g,19.00g
812,달콤한 인절미 아이스,1회 (150ml)당,286kcal,10.00g,45.00g,4.00g
813,주먹왕 매콤불고기&전주비빔밥,1회 (240g)당,416kcal,8.00g,74.00g,12.00g
814,레인보우 샌드위치,1개 (180g)당,316kcal,12.00g,40.00g,12.00g
815,쑥떡쑥떡바,1인분 (75ml)당,130kcal,4.80g,20.00g,2.00g
816,치즈김치볶음주먹밥,1회 (145g)당,255kcal,7.00g,43.00g,5.00g
817,허니츄러스맛팝콘,1봉지 (70g)당,370kcal,22.00g,43.00g,3.60g
818,스파이시치킨&에그 샌드위치,1팩 (150g)당,325kcal,15.00g,37.00g,11.00g
819,젤리인젤리,1봉지 (50g)당,180kcal,0.00g,42.00g,3.00g
820,청송사과주스,1병 (270ml)당,131kcal,0.00g,32.00g,0.00g
821,햄참치 김볶ball주먹밥,1개 (170g)당,320kcal,8.00g,55.00g,7.00g
822,크림치즈호두단팥빵,1인분 (130g)당,420kcal,13.00g,65.00g,9.00g
823,허니에그 모닝토스트,1회 (170g)당,524kcal,32.00g,44.00g,15.00g
824,콘초코클래식,1회 (30g)당,160kcal,8.00g,20.00g,2.00g
825,기력충전 도시락,1개 (405g)당,691kcal,19.00g,104.00g,26.00g
826,빅소보로크림슈,100g당,376kcal,24.00g,33.00g,7.00g
827,아메리칸 치즈 버거,1인분 (130g)당,374kcal,22.00g,33.00g,11.00g
828,스누피캐릭터구미,1인분 (60g)당,216kcal,0.00g,50.00g,4.00g
829,멘치까스버거,1인분 (186g)당,527kcal,31.00g,43.00g,19.00g
830,아베크까망베르치즈쿠키,100g당,375kcal,21.00g,43.00g,4.00g
831,강릉초당 순두부 아이스크림,1개 (185ml)당,178kcal,8.00g,22.00g,5.00g
832,초코파이 오리지널,100g당,496kcal,32.00g,47.00g,5.00g
833,그릭슈바인 순살학센 슬라이스,100g당,192kcal,8.00g,5.00g,25.00g
834,2000 우동,1인분 (207g)당,345kcal,3.20g,69.00g,10.00g
835,장조림버터간장,100g당,168kcal,1.30g,33.00g,6.00g
836,띵작,1회 (50g)당,158kcal,10.00g,15.00g,2.00g
837,백종원 돈까스 롱 김밥,1줄 (310g)당,592kcal,28.00g,73.00g,12.00g
838,갈릭퐁듀 큐브스테이크 도시락,1 인분 (340g)당,558kcal,14.00g,89.00g,19.00g
839,라떼는 말이야,1인분 (60g)당,340kcal,20.00g,35.00g,4.00g
840,베스트4단샌드위치,1인분 (167g)당,402kcal,22.00g,40.00g,11.00g
841,중화식짜장볶음밥,1인분 (320g)당,430kcal,4.70g,88.00g,9.00g
842,눈꽃치즈닭갈비,1인분 (496g)당,887kcal,39.00g,83.00g,51.00g
843,매콤제육쌈김밥,1인분 (205g)당,300kcal,8.00g,48.00g,9.00g
844,팔도진미 춘천식 닭갈비 도시락,1인분 (385g)당,633kcal,17.00g,90.00g,30.00g
845,의성마늘떡갈비정식,1인분 (405g)당,686kcal,22.00g,94.00g,28.00g
846,꾸덕치즈 너비아니,1인분 (161g)당,457kcal,21.00g,46.00g,21.00g
847,참치마요 데리덮밥,1인분 (356g)당,706kcal,30.00g,88.00g,21.00g
848,계란국물떡볶이,1인분 (250g)당,538kcal,4.70g,109.00g,15.00g
849,국민집밥 소불고기 정식,1회 (390g)당,655kcal,19.00g,95.00g,26.00g
850,브라운 슈가 라떼,1 인분 (250ml)당,200kcal,6.00g,30.00g,6.00g
851,대만식 초코크림 샌드위치,1인분 (125g)당,377kcal,17.00g,46.00g,10.00g
852,큐브베이컨 참치마요,1인분 (105g)당,205kcal,5.00g,34.00g,6.00g
853,후레쉬 콘 샐러드,1개 (200g)당,265kcal,14.00g,32.00g,3.00g
854,망고,1병 (270ml)당,156kcal,0.00g,39.00g,0.00g
855,씨유우유 저지방,100ml당,38kcal,0.80g,5.00g,3.00g
856,벚꽃돈가스버거,1인분 (160g)당,447kcal,19.00g,60.00g,9.00g
857,딸기우유콘,1회 (150ml)당,240kcal,8.00g,38.00g,4.00g
858,봄나물비빔밥 삼각김밥,1인분 (110g)당,163kcal,2.10g,32.00g,4.00g
859,소시지&에그 샌드위치,1팩 (160g)당,406kcal,22.00g,43.00g,9.00g
860,계란말이밥바,1회 (195g)당,300kcal,12.00g,37.00g,11.00g
861,자이언트 마늘떡볶이,1개 (300g)당,670kcal,2.40g,150.00g,13.00g
862,매콤순살치킨버거,1회 (160g)당,411kcal,23.00g,36.00g,15.00g
863,추억의 그시절 경양식,1회 (350g)당,626kcal,18.00g,94.00g,22.00g
864,제주 흑돼지 불고기 삼각김밥,1개 (105g)당,215kcal,4.30g,38.00g,6.00g
865,쫀득고구마찰빵,1인분 (25g)당,80kcal,2.00g,15.00g,1.00g
866,코코넛밀크,1컵 (270ml)당,324kcal,24.00g,26.00g,1.00g
